"IDDOL","路線名","規制区間（始点）","規制区間（終点）","規制開始日時","規制終了日時","方向区分","規制状況","規制原因","路面状況","路面状況詳細","規制曜日","規制曜日詳細","規制時間","規制時間詳細","規制車両","規制車両詳細","迂回路の有無","迂回路","所管事務所1","所管事務所2","施工業者","備考","FID"
1973,"一般県道 温川田辺線","田辺市新庄町（JR橋谷第二踏切）","田辺市新庄町（JR橋谷第二踏切）","2015/05/09 22:00","2015/05/19 6:00","上下","5/9、5/13、5/18時間制限通行止22:00～翌6:00","","","","","","夜間","5/9、5/13、5/18　時間規制22:00～翌6:00","","歩行者除く","有","","","西牟婁建設部","田辺市新庄町（JR橋谷第二踏切）","発注者：JR西日本田辺保線区0739-22-0859",1122
151,"一般県道 上初湯川皆瀬線","日高川町上初湯川","日高川町上初湯川","2011/11/30 13:30","","上下","２ｔ以上通行止","災害","路肩崩壊","","","","終日","","","","無","","日高建設部","","","",62
152,"一般県道 上初湯川皆瀬線","日高川町上初湯川","日高川町上初湯川","2011/11/30 13:30","","上下","２ｔ以上通行止","災害","路肩崩壊","","","","終日","","","","無","","日高建設部","","","",62
155,"一般県道 上初湯川皆瀬線","日高川町上初湯川","日高川町愛川","2011/11/14 13:13:0","","上下","４ｔ以上通行止","災害","路肩崩壊","","","","終日","","","","無","","日高建設部","","","",61
156,"一般県道 上初湯川皆瀬線","日高川町上初湯川","日高川町愛川","2011/11/14 13:13:0","","上下","４ｔ以上通行止","災害","路肩崩壊","","","","終日","","","","無","","日高建設部","","","",61
161,"一般県道 南金屋由良線","広川町河瀬","由良町畑","2011/07/23 12:30","","上下","全面通行止","災害","路肩崩壊","","","","終日","","","","有","一般国道４２号","日高建設部","","","",59
162,"一般県道 南金屋由良線","広川町河瀬","由良町畑","2011/07/23 12:30","","上下","全面通行止","災害","路肩崩壊","","","","終日","","","","有","一般国道４２号","日高建設部","","","",59
295,"一般県道 日置川すさみ線","西牟婁郡白浜町日置","西牟婁郡白浜町日置","2011/09/09 17:0:0","未定","","全面通行止","その他","その他","橋梁損傷","","","終日","","","","有","国道42号","西牟婁建設部","","","",34
296,"一般県道 日置川すさみ線","西牟婁郡白浜町日置","西牟婁郡白浜町日置","2011/09/09 17:0:0","未定","","全面通行止","その他","その他","橋梁損傷","","","終日","","","","有","国道42号","西牟婁建設部","","","",34
1034,"一般県道 佐本深谷三尾川線","古座川町長追","古座川町長追","2013/09/25 9:00","未定","上下","４トン超車両通行止め","災害","路肩崩壊","","","","終日","","","","無","","串本建設部","","","",493
1035,"一般県道 佐本深谷三尾川線","古座川町長追","古座川町長追","2013/09/25 9:00","未定","上下","４トン超車両通行止め","災害","路肩崩壊","","","","終日","","","","無","","串本建設部","","","",493
1104,"一般県道 日の岬公園線","美浜町三尾","美浜町三尾","2011/09/30 12:00","","上下","全面通行止","災害","その他","地滑り兆候のため","","","終日","","","","無","","日高建設部","","","日の岬パーク、日の岬国民宿舎への通行は可能",60
1105,"一般県道 日の岬公園線","美浜町三尾","美浜町三尾","2011/09/30 12:00","","上下","全面通行止","災害","その他","地滑り兆候のため","","","終日","","","","無","","日高建設部","","","日の岬パーク、日の岬国民宿舎への通行は可能",60
1236,"一般国道 169号","新宮市熊野川町玉置口","新宮市熊野川町玉置口","2012/07/13 14:0:0","未定","","全面通行止","災害","法面崩壊","","","","終日","","","","有","","新宮建設部","","","本区間は旧道の一部",45
1237,"一般国道 169号","新宮市熊野川町玉置口","新宮市熊野川町玉置口","2012/07/13 14:0:0","未定","","全面通行止","災害","法面崩壊","","","","終日","","","","有","","新宮建設部","","","本区間は旧道の一部",45
1314,"一般県道 和歌山海南線","海南市日方","海南市黒江","2014/06/02 6:00","2015/07/31 17:00","上下","通行止","","","","","","終日","","","","有","","","海草建設部","淺川・木下JV","",752
1315,"一般県道 和歌山海南線","海南市日方","海南市黒江","2014/06/02 6:00","2015/07/31 17:00","上下","通行止","","","","","","終日","","","","有","","","海草建設部","淺川・木下JV","",752
1534,"一般県道 楠本小川線","有田川町大西","有田川町大西","2014/08/12 17:00","未定","上下","４ｔ車以上通行止","災害","路肩崩壊","","","","終日","","","","無","","有田建設部","","","",888
1535,"一般県道 楠本小川線","有田川町大西","有田川町大西","2014/08/12 17:00","未定","上下","４ｔ車以上通行止","災害","路肩崩壊","","","","終日","","","","無","","有田建設部","","","",888
1554,"一般県道 生石公園線","有田川町生石","有田川町生石","2014/08/10 15:30","未定","","通行止","災害","路肩崩壊","","","","終日","","","","有","","有田建設部","","","",878
1555,"一般県道 生石公園線","有田川町生石","有田川町生石","2014/08/10 15:30","未定","","通行止","災害","路肩崩壊","","","","終日","","","","有","","有田建設部","","","",878
1656,"一般国道 371号","古座川町真砂地内","古座川町真砂地内","2014/12/08 9:00","2015/03/25 17:00","上下","時間制限通行止","","","","日祝除く","年末年始（12月27日～1月4日）は規制解除。","時間規制","規制時間9:00～12;00、13:00～13:45、14:00～15:10、15:30～17:00","緊急車両除く","ふるさとバス、スクールバスは通行可。","有","三尾川橋～県道～町道～真砂橋","","串本建設部","①(有)竹本組、②(株)坂井組","",964
1657,"一般国道 371号","古座川町真砂地内","古座川町真砂地内","2014/12/08 9:00","2015/03/25 17:00","上下","時間制限通行止","","","","日祝除く","年末年始（12月27日～1月4日）は規制解除。","時間規制","規制時間9:00～12;00、13:00～13:45、14:00～15:10、15:30～17:00","緊急車両除く","ふるさとバス、スクールバスは通行可。","有","三尾川橋～県道～町道～真砂橋","","串本建設部","①(有)竹本組、②(株)坂井組","",964
1702,"一般国道 425号","田辺市龍神村小又川","奈良県境","2014/12/25","2015/03/31 23:59","","全面通行止","その他","その他","路面凍結・積雪の恐れ","","","終日","","","","無","","西牟婁建設部","","","",622
1703,"一般国道 425号","田辺市龍神村小又川","奈良県境","2014/12/25","2015/03/31 23:59","","全面通行止","その他","その他","路面凍結・積雪の恐れ","","","終日","","","","無","","西牟婁建設部","","","",622
1720,"主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町南平野","2014/12/13","2015/03/31 23:59","上下","チェーン規制","その他","路面凍結","","","","終日","","","","無","","新宮建設部","","","凍結の恐れ",1006
1721,"主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町南平野","2014/12/13","2015/03/31 23:59","上下","チェーン規制","その他","路面凍結","","","","終日","","","","無","","新宮建設部","","","凍結の恐れ",1006
1756,"一般県道 宿九度山線","九度山町市平","橋本市彦谷","2013/09/23 13:00","未定","","通行止","災害","路肩崩壊","","","","終日","","","","無","","伊都建設部","","","",547
1757,"一般県道 宿九度山線","九度山町市平","橋本市彦谷","2013/09/23 13:00","未定","","通行止","災害","路肩崩壊","","","","終日","","","","無","","伊都建設部","","","",547
1786,"主要地方道 田辺龍神線","田辺市秋津川","田辺市龍神村柳瀬","2015/01/01 10:00","未定","","チェーン規制","路面凍結","路面凍結","","","","終日","","","","無","","西牟婁建設部","","","",1020
1787,"主要地方道 田辺龍神線","田辺市秋津川","田辺市龍神村柳瀬","2015/01/01 10:00","未定","","チェーン規制","路面凍結","路面凍結","","","","終日","","","","無","","西牟婁建設部","","","",1020
1850,"主要地方道 和歌山橋本線","紀の川市遠方","紀の川市遠方","2015/2/25","2015/06/30 17:00","上下","片側規制","","","","","","終日","","","","無","","","那賀建設部","","",1051
1851,"主要地方道 和歌山橋本線","紀の川市遠方","紀の川市遠方","2015/2/25","2015/06/30 17:00","上下","片側規制","","","","","","終日","","","","無","","","那賀建設部","","",1051
1864,"一般国道 169号","北山村小松","北山村小松","2015/03/09 8:00","2015/06/30 17:00","上下","通行止","","","","","木・土・日・祝日除く","時間規制","8:00~9:00  9:30~10:45  11:00~12:00  13:00~14:00  14:20~15:20  16:00~17:00","緊急車両除く","","無","","","新宮建設部","下山建設工業(有)","工事進捗状況などにより規制内容等が予告なしに変更される場合がありますので、予め御了承ください。",1060
